iter	Passed	Remaining
943	6447	382
944	6454	375
945	6461	368
946	6468	362
947	6476	355
948	6483	348
949	6490	341
950	6497	334
951	6504	327
952	6511	321
953	6519	314
954	6526	307
955	6533	300
956	6540	293
957	6547	287
958	6554	280
959	6562	273
960	6569	266
961	6576	259
962	6583	252
963	6590	246
964	6597	239
965	6605	232
966	6612	225
967	6619	218
968	6626	211
969	6633	205
970	6640	198
971	6647	191
972	6654	184
973	6661	177
974	6668	170
975	6675	164
976	6682	157
977	6690	150
978	6696	143
979	6703	136
980	6710	129
981	6717	123
982	6724	116
983	6731	109
984	6738	102
985	6745	95
986	6752	88
987	6760	82
988	6767	75
989	6774	68
990	6781	61
991	6788	54
992	6795	47
993	6802	41
994	6809	34
995	6816	27
996	6823	20
997	6830	13
998	6837	6
999	6845	0
